Microorganismo,ANTIMICROBIANO,R,I,S,X,Total general,Clasificacion_bacter
Pseudomonas putida,Tetraciclina,1,,,,1,Negativo
Pseudomonas putida,Trimetoprim-Sulfametoxazol,3,,7,,10,Negativo
Total Pseudomonas putida,,65,3,93,10,171,
Aeromonas hydrophila,Amikacina,,,7,,7,Negativo
Aeromonas hydrophila,Amoxicilina-Clavulanato,3,,,,3,Negativo
Aeromonas hydrophila,Ampicilina,7,,,,7,Negativo
Aeromonas hydrophila,Cefazolina,7,,,,7,Negativo
Aeromonas hydrophila,Cefepima,1,2,4,,7,Negativo
Aeromonas hydrophila,Cefoxitina,5,1,1,,7,Negativo
Aeromonas hydrophila,Ceftazidima,,,7,,7,Negativo
Aeromonas hydrophila,Ceftriaxona,1,,6,,7,Negativo
Aeromonas hydrophila,Cefuroxima,1,1,1,,3,Negativo
Aeromonas hydrophila,Ciprofloxacino,,2,5,,7,Negativo
Aeromonas hydrophila,Ertapenem,6,,1,,7,Negativo
Aeromonas hydrophila,Gentamicina,1,,6,,7,Negativo
Aeromonas hydrophila,Imipenem,3,,4,,7,Negativo
Aeromonas hydrophila,Levofloxacino,1,,,6,7,Negativo
Aeromonas hydrophila,Meropenem,4,,3,,7,Negativo
Aeromonas hydrophila,Piperacilina-Tazobactam,,,7,,7,Negativo
Aeromonas hydrophila,Tetraciclina,2,,1,,3,Negativo
Aeromonas hydrophila,Trimetoprim-Sulfametoxazol,2,,5,,7,Negativo
Total Aeromonas hydrophila,,44,6,58,6,114,
Klebsiella ozaenae,Amikacina,,,6,,6,Negativo
Klebsiella ozaenae,Amoxicilina-Clavulanato,,,4,,4,Negativo
Klebsiella ozaenae,Ampicilina,6,,,,6,Negativo
Klebsiella ozaenae,Ampicilina-Sulbactam,2,,,,2,Negativo
Klebsiella ozaenae,Cefazolina,2,,,4,6,Negativo
Klebsiella ozaenae,Cefepima,2,,4,,6,Negativo
Klebsiella ozaenae,Cefoxitina,,,6,,6,Negativo
Klebsiella ozaenae,Ceftazidima,2,,4,,6,Negativo
Klebsiella ozaenae,Ceftriaxona,2,,4,,6,Negativo
Klebsiella ozaenae,Cefuroxima,,,4,,4,Negativo
Klebsiella ozaenae,Ciprofloxacino,4,,2,,6,Negativo
Klebsiella ozaenae,Colistina,,,,2,2,Negativo
Klebsiella ozaenae,Ertapenem,1,,5,,6,Negativo
Klebsiella ozaenae,Gentamicina,1,1,4,,6,Negativo
Klebsiella ozaenae,Imipenem,1,,5,,6,Negativo
Klebsiella ozaenae,Levofloxacino,3,,,3,6,Negativo
Klebsiella ozaenae,Meropenem,1,,5,,6,Negativo
Klebsiella ozaenae,Nitrofurantoína,1,,3,,4,Negativo
Klebsiella ozaenae,Norfloxacino,2,,2,,4,Negativo
Klebsiella ozaenae,Piperacilina-Tazobactam,1,,5,,6,Negativo
Klebsiella ozaenae,Tetraciclina,1,,3,,4,Negativo
Klebsiella ozaenae,Tigeciclina,,,2,,2,Negativo
Klebsiella ozaenae,Trimetoprim-Sulfametoxazol,2,,4,,6,Negativo
Total Klebsiella ozaenae,,34,1,72,9,116,
Kluyvera ascorbata,Amikacina,,,6,,6,Negativo
Kluyvera ascorbata,Amoxicilina-Clavulanato,1,1,,,2,Negativo
Kluyvera ascorbata,Ampicilina,6,,,,6,Negativo
Kluyvera ascorbata,Ampicilina-Sulbactam,1,1,2,,4,Negativo
Kluyvera ascorbata,Cefazolina,3,,1,2,6,Negativo
Kluyvera ascorbata,Cefepima,2,,4,,6,Negativo
Kluyvera ascorbata,Cefoxitina,3,,3,,6,Negativo
Kluyvera ascorbata,Ceftazidima,,1,5,,6,Negativo
Kluyvera ascorbata,Ceftriaxona,2,,4,,6,Negativo
Kluyvera ascorbata,Cefuroxima,1,,1,,2,Negativo
Kluyvera ascorbata,Ciprofloxacino,3,1,2,,6,Negativo
Kluyvera ascorbata,Colistina,,,,4,4,Negativo
Kluyvera ascorbata,Ertapenem,3,,3,,6,Negativo
Kluyvera ascorbata,Gentamicina,3,,3,,6,Negativo
Kluyvera ascorbata,Imipenem,,,6,,6,Negativo
Kluyvera ascorbata,Levofloxacino,2,,,4,6,Negativo
Kluyvera ascorbata,Meropenem,1,,5,,6,Negativo
Kluyvera ascorbata,Nitrofurantoína,2,,,,2,Negativo
Kluyvera ascorbata,Norfloxacino,1,,1,,2,Negativo
Kluyvera ascorbata,Piperacilina-Tazobactam,,,6,,6,Negativo
Kluyvera ascorbata,Tetraciclina,1,,1,,2,Negativo
Kluyvera ascorbata,Tigeciclina,,1,3,,4,Negativo
Kluyvera ascorbata,Trimetoprim-Sulfametoxazol,3,,3,,6,Negativo
Total Kluyvera ascorbata,,38,5,59,10,112,
Citrobacter farmeri,Amikacina,,,5,,5,Negativo
Citrobacter farmeri,Amoxicilina-Clavulanato,,1,,,1,Negativo
Citrobacter farmeri,Ampicilina,5,,,,5,Negativo
Citrobacter farmeri,Ampicilina-Sulbactam,2,,2,,4,Negativo
Citrobacter farmeri,Cefazolina,5,,,,5,Negativo
Citrobacter farmeri,Cefepima,2,3,,,5,Negativo
Citrobacter farmeri,Cefoxitina,1,,4,,5,Negativo
Citrobacter farmeri,Ceftazidima,2,2,1,,5,Negativo
Citrobacter farmeri,Ceftriaxona,5,,,,5,Negativo
Citrobacter farmeri,Cefuroxima,1,,,,1,Negativo
Citrobacter farmeri,Ciprofloxacino,4,,1,,5,Negativo
Citrobacter farmeri,Colistina,,,,4,4,Negativo
Citrobacter farmeri,Ertapenem,2,,3,,5,Negativo
Citrobacter farmeri,Gentamicina,2,,3,,5,Negativo
Citrobacter farmeri,Imipenem,1,,4,,5,Negativo
Citrobacter farmeri,Levofloxacino,4,,,1,5,Negativo
Citrobacter farmeri,Meropenem,1,,4,,5,Negativo
Citrobacter farmeri,Nitrofurantoína,1,,,,1,Negativo
Citrobacter farmeri,Norfloxacino,1,,,,1,Negativo
Citrobacter farmeri,Piperacilina-Tazobactam,1,,4,,5,Negativo
Citrobacter farmeri,Tetraciclina,1,,,,1,Negativo
Citrobacter farmeri,Tigeciclina,,,2,2,4,Negativo
Citrobacter farmeri,Trimetoprim-Sulfametoxazol,3,,2,,5,Negativo
Total Citrobacter farmeri,,44,6,35,7,92,
Citrobacter koseri,Amikacina,,,5,,5,Negativo
Citrobacter koseri,Amoxicilina-Clavulanato,,1,1,,2,Negativo
Citrobacter koseri,Ampicilina,5,,,,5,Negativo
Citrobacter koseri,Ampicilina-Sulbactam,2,1,,,3,Negativo
Citrobacter koseri,Cefazolina,4,,1,,5,Negativo
Citrobacter koseri,Cefepima,4,,1,,5,Negativo
Citrobacter koseri,Cefoxitina,1,,4,,5,Negativo
Citrobacter koseri,Ceftazidima,1,,4,,5,Negativo
Citrobacter koseri,Ceftriaxona,4,,1,,5,Negativo
Citrobacter koseri,Cefuroxima,1,1,,,2,Negativo
Citrobacter koseri,Ciprofloxacino,2,1,2,,5,Negativo
Citrobacter koseri,Colistina,,,,3,3,Negativo
Citrobacter koseri,Ertapenem,3,,2,,5,Negativo
Citrobacter koseri,Gentamicina,1,,4,,5,Negativo
Citrobacter koseri,Imipenem,1,,4,,5,Negativo
Citrobacter koseri,Levofloxacino,2,,,3,5,Negativo
Citrobacter koseri,Meropenem,1,,4,,5,Negativo
Citrobacter koseri,Nitrofurantoína,,1,1,,2,Negativo
Citrobacter koseri,Norfloxacino,1,,1,,2,Negativo
