Microorganismo,ANTIMICROBIANO,R,I,S,X,Total general,Clasificacion_bacter
Pseudomonas spp.,Trimetoprim-Sulfametoxazol,,,1,,1,Negativo
Total Pseudomonas spp.,,4,,11,1,16,
Shigella dysenteriae,Amikacina,1,,,,1,Negativo
Shigella dysenteriae,Ampicilina,,,1,,1,Negativo
Shigella dysenteriae,Ampicilina-Sulbactam,,,1,,1,Negativo
Shigella dysenteriae,Cefazolina,1,,,,1,Negativo
Shigella dysenteriae,Cefepima,,,1,,1,Negativo
Shigella dysenteriae,Cefoxitina,1,,,,1,Negativo
Shigella dysenteriae,Ceftazidima,,,1,,1,Negativo
Shigella dysenteriae,Ceftriaxona,,1,,,1,Negativo
Shigella dysenteriae,Ciprofloxacino,1,,,,1,Negativo
Shigella dysenteriae,Colistina,1,,,,1,Negativo
Shigella dysenteriae,Ertapenem,,,1,,1,Negativo
Shigella dysenteriae,Gentamicina,1,,,,1,Negativo
Shigella dysenteriae,Imipenem,,,1,,1,Negativo
Shigella dysenteriae,Levofloxacino,,,,1,1,Negativo
Shigella dysenteriae,Meropenem,,,1,,1,Negativo
Shigella dysenteriae,Piperacilina-Tazobactam,,,1,,1,Negativo
Shigella dysenteriae,Tigeciclina,,,1,,1,Negativo
Shigella dysenteriae,Trimetoprim-Sulfametoxazol,,,1,,1,Negativo
Total Shigella dysenteriae,,6,1,10,1,18,
Shigella flexneri,Amikacina,1,,,,1,Negativo
Shigella flexneri,Ampicilina,,1,,,1,Negativo
Shigella flexneri,Ampicilina-Sulbactam,,,1,,1,Negativo
Shigella flexneri,Cefazolina,1,,,,1,Negativo
Shigella flexneri,Cefepima,,1,,,1,Negativo
Shigella flexneri,Cefoxitina,1,,,,1,Negativo
Shigella flexneri,Ceftazidima,1,,,,1,Negativo
Shigella flexneri,Ceftriaxona,,,1,,1,Negativo
Shigella flexneri,Ciprofloxacino,,,1,,1,Negativo
Shigella flexneri,Colistina,,,,1,1,Negativo
Shigella flexneri,Ertapenem,1,,,,1,Negativo
Shigella flexneri,Gentamicina,1,,,,1,Negativo
Shigella flexneri,Imipenem,1,,,,1,Negativo
Shigella flexneri,Levofloxacino,,,,1,1,Negativo
Shigella flexneri,Meropenem,1,,,,1,Negativo
Shigella flexneri,Piperacilina-Tazobactam,1,,,,1,Negativo
Shigella flexneri,Tigeciclina,,,1,,1,Negativo
Shigella flexneri,Trimetoprim-Sulfametoxazol,,,1,,1,Negativo
Total Shigella flexneri,,9,2,5,2,18,
Shigella sonnei,Amikacina,1,,,,1,Negativo
Shigella sonnei,Ampicilina,,,1,,1,Negativo
Shigella sonnei,Ampicilina-Sulbactam,,,1,,1,Negativo
Shigella sonnei,Cefazolina,1,,,,1,Negativo
Shigella sonnei,Cefepima,,,1,,1,Negativo
Shigella sonnei,Cefoxitina,1,,,,1,Negativo
Shigella sonnei,Ceftazidima,,,1,,1,Negativo
Shigella sonnei,Ceftriaxona,,,1,,1,Negativo
Shigella sonnei,Ciprofloxacino,,,1,,1,Negativo
Shigella sonnei,Colistina,,,,1,1,Negativo
Shigella sonnei,Ertapenem,,,1,,1,Negativo
Shigella sonnei,Gentamicina,1,,,,1,Negativo
Shigella sonnei,Imipenem,,,1,,1,Negativo
Shigella sonnei,Levofloxacino,,,,1,1,Negativo
Shigella sonnei,Meropenem,,,1,,1,Negativo
Shigella sonnei,Piperacilina-Tazobactam,,,1,,1,Negativo
Shigella sonnei,Tigeciclina,,,1,,1,Negativo
Shigella sonnei,Trimetoprim-Sulfametoxazol,,,1,,1,Negativo
Total Shigella sonnei,,4,,12,2,18,
Yersinia intermedia,Amikacina,1,,,,1,Negativo
Yersinia intermedia,Ampicilina,,,1,,1,Negativo
Yersinia intermedia,Ampicilina-Sulbactam,,,1,,1,Negativo
Yersinia intermedia,Cefazolina,1,,,,1,Negativo
Yersinia intermedia,Cefepima,1,,,,1,Negativo
Yersinia intermedia,Cefoxitina,1,,,,1,Negativo
Yersinia intermedia,Ceftazidima,1,,,,1,Negativo
Yersinia intermedia,Ceftriaxona,1,,,,1,Negativo
Yersinia intermedia,Ciprofloxacino,1,,,,1,Negativo
Yersinia intermedia,Colistina,1,,,,1,Negativo
Yersinia intermedia,Gentamicina,1,,,,1,Negativo
Yersinia intermedia,Levofloxacino,,,,1,1,Negativo
Yersinia intermedia,Piperacilina-Tazobactam,,,1,,1,Negativo
Yersinia intermedia,Tigeciclina,,,1,,1,Negativo
Yersinia intermedia,Trimetoprim-Sulfametoxazol,,,1,,1,Negativo
Total Yersinia intermedia,,9,,5,1,15,
Burkholderia cepacia complejo,Amoxicilina-Clavulanato,1,,,,1,Negativo
Burkholderia cepacia complejo,Ampicilina,4,,,,4,Negativo
Burkholderia cepacia complejo,Ampicilina-Sulbactam,3,,,,3,Negativo
Burkholderia cepacia complejo,Cefazolina,4,,,,4,Negativo
Burkholderia cepacia complejo,Cefoxitina,4,,,,4,Negativo
Burkholderia cepacia complejo,Ceftazidima,2,1,1,,4,Negativo
Burkholderia cepacia complejo,Cefuroxima,1,,,,1,Negativo
Burkholderia cepacia complejo,Colistina,3,,,,3,Negativo
Burkholderia cepacia complejo,Fosfomicina c/G6P,3,,,,3,Negativo
Burkholderia cepacia complejo,Levofloxacino,2,1,1,,4,Negativo
Burkholderia cepacia complejo,Meropenem,1,,3,,4,Negativo
Burkholderia cepacia complejo,Nitrofurantoína,1,,,,1,Negativo
Burkholderia cepacia complejo,Tigeciclina,,,,1,1,Negativo
Burkholderia cepacia complejo,Trimetoprim-Sulfametoxazol,3,,1,,4,Negativo
Total Burkholderia cepacia complejo,,32,2,6,1,41,
Enterococcus casseliflavus/gallinarum,Ampicilina,,,2,,2,Positivo
Enterococcus casseliflavus/gallinarum,Cefoxitina,2,,,,2,Positivo
Enterococcus casseliflavus/gallinarum,Ceftarolina,2,,,,2,Positivo
Enterococcus casseliflavus/gallinarum,Clindamicina,2,,,,2,Positivo
Enterococcus casseliflavus/gallinarum,Cloranfenicol,,,1,1,2,Positivo
Enterococcus casseliflavus/gallinarum,Daptomicina,,,2,,2,Positivo
Enterococcus casseliflavus/gallinarum,Eritromicina,,,1,1,2,Positivo
Enterococcus casseliflavus/gallinarum,Estreptomicina-Sin,,,2,,2,Positivo
Enterococcus casseliflavus/gallinarum,Gentamicina,2,,,,2,Positivo
Enterococcus casseliflavus/gallinarum,Gentamicina-Sin,2,,,,2,Positivo
Enterococcus casseliflavus/gallinarum,Linezolida,,,2,,2,Positivo
Enterococcus casseliflavus/gallinarum,Minociclina,1,,1,,2,Positivo
Enterococcus casseliflavus/gallinarum,Nitrofurantoína,,,2,,2,Positivo
Enterococcus casseliflavus/gallinarum,Norfloxacino,1,,1,,2,Positivo
Enterococcus casseliflavus/gallinarum,Penicilina G,,,2,,2,Positivo
Enterococcus casseliflavus/gallinarum,Teicoplanin,,,2,,2,Positivo
Enterococcus casseliflavus/gallinarum,Tigeciclina,,,,1,1,Positivo
Enterococcus casseliflavus/gallinarum,Trimetoprim-Sulfametoxazol,2,,,,2,Positivo
Enterococcus casseliflavus/gallinarum,Vancomicina,2,,,,2,Positivo
Total Enterococcus casseliflavus/gallinarum,,16,,18,3,37,
Enterococcus faecalis,Ampicilina,10,,71,,81,Positivo
Enterococcus faecalis,Cefoxitina,80,,,,80,Positivo
Enterococcus faecalis,Ciprofloxacino,39,11,29,,79,Positivo
Enterococcus faecalis,Clindamicina,80,,,,80,Positivo
Enterococcus faecalis,Cloranfenicol,7,,44,29,80,Positivo
Enterococcus faecalis,Daptomicina,,,76,,76,Positivo
Enterococcus faecalis,Eritromicina,30,14,7,29,80,Positivo
Enterococcus faecalis,Estreptomicina-Sin,40,,40,,80,Positivo
Enterococcus faecalis,Gentamicina,80,,,,80,Positivo
Enterococcus faecalis,Gentamicina-Sin,44,,36,,80,Positivo
Enterococcus faecalis,Linezolida,4,5,71,,80,Positivo
Enterococcus faecalis,Minociclina,48,7,25,,80,Positivo
Enterococcus faecalis,Nitrofurantoína,5,3,72,,80,Positivo
Enterococcus faecalis,Norfloxacino,37,5,38,,80,Positivo
Enterococcus faecalis,Penicilina G,19,,62,,81,Positivo
Enterococcus faecalis,Teicoplanin,10,,71,,81,Positivo
Enterococcus faecalis,Tigeciclina,,,47,34,81,Positivo
Enterococcus faecalis,Trimetoprim-Sulfametoxazol,81,,,,81,Positivo
Enterococcus faecalis,Vancomicina,8,,72,,80,Positivo
Total Enterococcus faecalis,,622,45,761,92,1520,
Enterococcus faecium,Ampicilina,8,,3,,11,Positivo
Enterococcus faecium,Cefoxitina,11,,,,11,Positivo
Enterococcus faecium,Ceftarolina,11,,,,11,Positivo
Enterococcus faecium,Ciprofloxacino,6,3,2,,11,Positivo
Enterococcus faecium,Clindamicina,11,,,,11,Positivo
Enterococcus faecium,Cloranfenicol,1,,7,3,11,Positivo
Enterococcus faecium,Daptomicina,,,11,,11,Positivo
Enterococcus faecium,Eritromicina,6,1,1,3,11,Positivo
Enterococcus faecium,Estreptomicina-Sin,,,11,,11,Positivo
Enterococcus faecium,Gentamicina,11,,,,11,Positivo
Enterococcus faecium,Gentamicina-Sin,4,,7,,11,Positivo
Enterococcus faecium,Linezolida,,,11,,11,Positivo
Enterococcus faecium,Minociclina,2,,9,,11,Positivo
Enterococcus faecium,Nitrofurantoína,9,2,,,11,Positivo
Enterococcus faecium,Norfloxacino,6,,5,,11,Positivo
Enterococcus faecium,Penicilina G,8,,3,,11,Positivo
Enterococcus faecium,Teicoplanin,1,,10,,11,Positivo
Enterococcus faecium,Trimetoprim-Sulfametoxazol,11,,,,11,Positivo
Enterococcus faecium,Vancomicina,3,,8,,11,Positivo
Total Enterococcus faecium,,109,6,88,6,209,
Staphylococcus aureus,Ampicilina,77,,,,77,Positivo
Staphylococcus aureus,Cefoxitina,84,,,1,85,Positivo
Staphylococcus aureus,Ceftarolina,26,18,235,1,280,Positivo
Staphylococcus aureus,Ciprofloxacino,66,6,204,,276,Positivo
Staphylococcus aureus,Clindamicina,97,5,172,5,279,Positivo
Staphylococcus aureus,Cloranfenicol,36,22,216,5,279,Positivo
Staphylococcus aureus,Daptomicina,,,262,,262,Positivo
Staphylococcus aureus,Eritromicina,109,5,159,5,278,Positivo
Staphylococcus aureus,Gentamicina,137,8,132,,277,Positivo
Staphylococcus aureus,Linezolida,12,,267,,279,Positivo
Staphylococcus aureus,Minociclina,12,10,252,5,279,Positivo
Staphylococcus aureus,Nitrofurantoína,15,7,248,8,278,Positivo
Staphylococcus aureus,Norfloxacino,62,14,195,8,279,Positivo
Staphylococcus aureus,Oxacilina,84,,193,,277,Positivo
Staphylococcus aureus,Penicilina G,263,,,15,278,Positivo
Staphylococcus aureus,Rifampicina,37,1,240,,278,Positivo
Staphylococcus aureus,Teicoplanin,18,3,254,,275,Positivo
Staphylococcus aureus,Tigeciclina,,,250,5,255,Positivo
Staphylococcus aureus,Trimetoprim-Sulfametoxazol,80,,197,,277,Positivo
Staphylococcus aureus,Vancomicina,15,4,260,,279,Positivo
Total Staphylococcus aureus,,1230,103,3736,58,5127,
Staphylococcus auricularis,Ciprofloxacino,,,1,,1,Positivo
Staphylococcus auricularis,Clindamicina,,,1,,1,Positivo
Staphylococcus auricularis,Cloranfenicol,,,1,,1,Positivo
Staphylococcus auricularis,Daptomicina,,,1,,1,Positivo
Staphylococcus auricularis,Eritromicina,,,1,,1,Positivo
Staphylococcus auricularis,Gentamicina,1,,,,1,Positivo
Staphylococcus auricularis,Linezolida,,,1,,1,Positivo
Staphylococcus auricularis,Minociclina,,,1,,1,Positivo
Staphylococcus auricularis,Nitrofurantoína,,,1,,1,Positivo
Staphylococcus auricularis,Norfloxacino,,,1,,1,Positivo
Staphylococcus auricularis,Oxacilina,,,1,,1,Positivo
Staphylococcus auricularis,Rifampicina,,,1,,1,Positivo
Staphylococcus auricularis,Teicoplanin,,,1,,1,Positivo
Staphylococcus auricularis,Trimetoprim-Sulfametoxazol,,,1,,1,Positivo
Staphylococcus auricularis,Vancomicina,,,1,,1,Positivo
Total Staphylococcus auricularis,,1,,14,,15,
Staphylococcus capitis,Cefoxitina,1,,,,1,Positivo
Staphylococcus capitis,Ciprofloxacino,1,,1,,2,Positivo
Staphylococcus capitis,Clindamicina,1,,1,,2,Positivo
Staphylococcus capitis,Cloranfenicol,,,2,,2,Positivo
Staphylococcus capitis,Daptomicina,,,2,,2,Positivo
Staphylococcus capitis,Eritromicina,1,,1,,2,Positivo
Staphylococcus capitis,Gentamicina,1,,1,,2,Positivo
Staphylococcus capitis,Linezolida,1,,1,,2,Positivo
Staphylococcus capitis,Minociclina,,,2,,2,Positivo
Staphylococcus capitis,Nitrofurantoína,,,2,,2,Positivo
Staphylococcus capitis,Norfloxacino,1,,1,,2,Positivo
Staphylococcus capitis,Oxacilina,1,,1,,2,Positivo
Staphylococcus capitis,Rifampicina,1,,1,,2,Positivo
Staphylococcus capitis,Teicoplanin,,,2,,2,Positivo
Staphylococcus capitis,Trimetoprim-Sulfametoxazol,,,2,,2,Positivo
Staphylococcus capitis,Vancomicina,,,2,,2,Positivo
Total Staphylococcus capitis,,9,,22,,31,
Staphylococcus caprae,Ciprofloxacino,,,1,,1,Positivo
Staphylococcus caprae,Clindamicina,,,1,,1,Positivo
Staphylococcus caprae,Cloranfenicol,,,1,,1,Positivo
Staphylococcus caprae,Daptomicina,,,1,,1,Positivo
Staphylococcus caprae,Eritromicina,,,1,,1,Positivo
Staphylococcus caprae,Gentamicina,,,1,,1,Positivo
Staphylococcus caprae,Linezolida,,,1,,1,Positivo
Staphylococcus caprae,Minociclina,,,1,,1,Positivo
Staphylococcus caprae,Nitrofurantoína,,,,1,1,Positivo
Staphylococcus caprae,Norfloxacino,,,,1,1,Positivo
Staphylococcus caprae,Oxacilina,,,1,,1,Positivo
Staphylococcus caprae,Rifampicina,,,1,,1,Positivo
Staphylococcus caprae,Teicoplanin,,,1,,1,Positivo
Staphylococcus caprae,Trimetoprim-Sulfametoxazol,,,1,,1,Positivo
Staphylococcus caprae,Vancomicina,,,1,,1,Positivo
Total Staphylococcus caprae,,,,13,2,15,
Staphylococcus coagulasa-negativo,Cefoxitina,1,,,,1,Positivo
Staphylococcus coagulasa-negativo,Ciprofloxacino,,,1,,1,Positivo
Staphylococcus coagulasa-negativo,Clindamicina,1,,,,1,Positivo
Staphylococcus coagulasa-negativo,Cloranfenicol,1,,,,1,Positivo
Staphylococcus coagulasa-negativo,Eritromicina,1,,,,1,Positivo
Staphylococcus coagulasa-negativo,Gentamicina,,,1,,1,Positivo
Staphylococcus coagulasa-negativo,Linezolida,1,,,,1,Positivo
Staphylococcus coagulasa-negativo,Minociclina,,1,,,1,Positivo
Staphylococcus coagulasa-negativo,Nitrofurantoína,1,,,,1,Positivo
Staphylococcus coagulasa-negativo,Norfloxacino,,,1,,1,Positivo
Staphylococcus coagulasa-negativo,Oxacilina,1,,,,1,Positivo
Staphylococcus coagulasa-negativo,Rifampicina,,1,,,1,Positivo
Staphylococcus coagulasa-negativo,Teicoplanin,1,,,,1,Positivo
Staphylococcus coagulasa-negativo,Trimetoprim-Sulfametoxazol,,,1,,1,Positivo
Staphylococcus coagulasa-negativo,Vancomicina,1,,,,1,Positivo
Total Staphylococcus coagulasa-negativo,,9,2,4,,15,
Staphylococcus epidermidis,Cefoxitina,170,,,1,171,Positivo
Staphylococcus epidermidis,Ceftarolina,,,,1,1,Positivo
Staphylococcus epidermidis,Ciprofloxacino,101,9,99,,209,Positivo
Staphylococcus epidermidis,Clindamicina,120,5,80,4,209,Positivo
Staphylococcus epidermidis,Cloranfenicol,29,19,150,3,201,Positivo
Staphylococcus epidermidis,Daptomicina,,,197,,197,Positivo
Staphylococcus epidermidis,Eritromicina,133,11,62,3,209,Positivo
Staphylococcus epidermidis,Gentamicina,104,12,94,,210,Positivo
Staphylococcus epidermidis,Linezolida,17,,192,,209,Positivo
Staphylococcus epidermidis,Minociclina,7,7,192,3,209,Positivo
Staphylococcus epidermidis,Nitrofurantoína,29,4,169,7,209,Positivo
Staphylococcus epidermidis,Norfloxacino,95,12,94,7,208,Positivo
Staphylococcus epidermidis,Oxacilina,177,,33,,210,Positivo
Staphylococcus epidermidis,Penicilina G,187,,,10,197,Positivo
Staphylococcus epidermidis,Rifampicina,39,2,168,,209,Positivo
Staphylococcus epidermidis,Teicoplanin,11,3,180,,194,Positivo
Staphylococcus epidermidis,Tigeciclina,,,,3,3,Positivo
Staphylococcus epidermidis,Trimetoprim-Sulfametoxazol,149,,57,,206,Positivo
Staphylococcus epidermidis,Vancomicina,6,2,200,,208,Positivo
Total Staphylococcus epidermidis,,1374,86,1967,42,3469,
Staphylococcus gallinarum,Cefoxitina,1,,,,1,Positivo
Staphylococcus gallinarum,Ciprofloxacino,,,1,,1,Positivo
Staphylococcus gallinarum,Clindamicina,,,1,,1,Positivo
Staphylococcus gallinarum,Cloranfenicol,,,1,,1,Positivo
Staphylococcus gallinarum,Daptomicina,,,1,,1,Positivo
Staphylococcus gallinarum,Eritromicina,1,,,,1,Positivo
Staphylococcus gallinarum,Gentamicina,1,,,,1,Positivo
Staphylococcus gallinarum,Linezolida,,,1,,1,Positivo
Staphylococcus gallinarum,Minociclina,,1,,,1,Positivo
Staphylococcus gallinarum,Nitrofurantoína,,,1,,1,Positivo
Staphylococcus gallinarum,Norfloxacino,,,1,,1,Positivo
Staphylococcus gallinarum,Oxacilina,1,,,,1,Positivo
Staphylococcus gallinarum,Rifampicina,,,1,,1,Positivo
Staphylococcus gallinarum,Teicoplanin,,,1,,1,Positivo
Staphylococcus gallinarum,Trimetoprim-Sulfametoxazol,,,1,,1,Positivo
Staphylococcus gallinarum,Vancomicina,,,1,,1,Positivo
Total Staphylococcus gallinarum,,4,1,11,,16,
Staphylococcus haemolyticus,Cefoxitina,69,,,,69,Positivo
Staphylococcus haemolyticus,Ciprofloxacino,49,7,18,,74,Positivo
Staphylococcus haemolyticus,Clindamicina,54,2,14,4,74,Positivo
Staphylococcus haemolyticus,Cloranfenicol,9,1,61,3,74,Positivo
Staphylococcus haemolyticus,Daptomicina,,,72,,72,Positivo
Staphylococcus haemolyticus,Eritromicina,62,1,8,3,74,Positivo
Staphylococcus haemolyticus,Gentamicina,61,1,12,,74,Positivo
Staphylococcus haemolyticus,Linezolida,2,,72,,74,Positivo
Staphylococcus haemolyticus,Minociclina,,4,67,3,74,Positivo
Staphylococcus haemolyticus,Nitrofurantoína,2,,71,1,74,Positivo
Staphylococcus haemolyticus,Norfloxacino,54,2,16,1,73,Positivo
Staphylococcus haemolyticus,Oxacilina,69,,5,,74,Positivo
Staphylococcus haemolyticus,Rifampicina,23,,50,,73,Positivo
Staphylococcus haemolyticus,Teicoplanin,7,5,63,,75,Positivo
Staphylococcus haemolyticus,Tigeciclina,,,,3,3,Positivo
Staphylococcus haemolyticus,Trimetoprim-Sulfametoxazol,56,,18,,74,Positivo
Staphylococcus haemolyticus,Vancomicina,5,,68,,73,Positivo
Total Staphylococcus haemolyticus,,522,23,615,18,1178,
Staphylococcus hominis,Cefoxitina,21,,,,21,Positivo
Staphylococcus hominis,Ciprofloxacino,16,2,10,,28,Positivo
Staphylococcus hominis,Clindamicina,15,,12,1,28,Positivo
Staphylococcus hominis,Cloranfenicol,4,1,22,1,28,Positivo
Staphylococcus hominis,Daptomicina,,,26,,26,Positivo
Staphylococcus hominis,Eritromicina,22,,5,1,28,Positivo
Staphylococcus hominis,Gentamicina,8,3,16,,27,Positivo
Staphylococcus hominis,Linezolida,2,,26,,28,Positivo
Staphylococcus hominis,Minociclina,,,27,1,28,Positivo
Staphylococcus hominis,Nitrofurantoína,,,27,1,28,Positivo
Staphylococcus hominis,Norfloxacino,14,1,11,1,27,Positivo
Staphylococcus hominis,Oxacilina,21,,7,,28,Positivo
Staphylococcus hominis,Rifampicina,5,,23,,28,Positivo
Staphylococcus hominis,Teicoplanin,1,,25,,26,Positivo
Staphylococcus hominis,Tigeciclina,,,,1,1,Positivo
Staphylococcus hominis,Trimetoprim-Sulfametoxazol,20,,8,,28,Positivo
Staphylococcus hominis,Vancomicina,1,,27,,28,Positivo
Total Staphylococcus hominis,,150,7,272,7,436,
Staphylococcus intermedius,Cefoxitina,10,,,,10,Positivo
Staphylococcus intermedius,Ciprofloxacino,8,,2,,10,Positivo
Staphylococcus intermedius,Clindamicina,8,,,2,10,Positivo
Staphylococcus intermedius,Cloranfenicol,1,,7,2,10,Positivo
Staphylococcus intermedius,Daptomicina,,,10,,10,Positivo
Staphylococcus intermedius,Eritromicina,8,,,2,10,Positivo
Staphylococcus intermedius,Gentamicina,10,,,,10,Positivo
Staphylococcus intermedius,Linezolida,,,10,,10,Positivo
Staphylococcus intermedius,Minociclina,,,8,2,10,Positivo
Staphylococcus intermedius,Nitrofurantoína,,2,8,,10,Positivo
Staphylococcus intermedius,Norfloxacino,7,1,2,,10,Positivo
Staphylococcus intermedius,Oxacilina,10,,,,10,Positivo
Staphylococcus intermedius,Rifampicina,2,,8,,10,Positivo
Staphylococcus intermedius,Teicoplanin,1,,9,,10,Positivo
Staphylococcus intermedius,Tigeciclina,,,,2,2,Positivo
Staphylococcus intermedius,Trimetoprim-Sulfametoxazol,7,,3,,10,Positivo
Staphylococcus intermedius,Vancomicina,,,10,,10,Positivo
Total Staphylococcus intermedius,,72,3,77,10,162,
Staphylococcus lentus,Cefoxitina,1,,,,1,Positivo
Staphylococcus lentus,Ciprofloxacino,1,,,,1,Positivo
Staphylococcus lentus,Clindamicina,1,,,,1,Positivo
Staphylococcus lentus,Cloranfenicol,,,1,,1,Positivo
Staphylococcus lentus,Daptomicina,,,1,,1,Positivo
Staphylococcus lentus,Eritromicina,1,,,,1,Positivo
Staphylococcus lentus,Gentamicina,1,,,,1,Positivo
Staphylococcus lentus,Linezolida,,,1,,1,Positivo
Staphylococcus lentus,Minociclina,,,1,,1,Positivo
Staphylococcus lentus,Nitrofurantoína,,,1,,1,Positivo
Staphylococcus lentus,Norfloxacino,1,,,,1,Positivo
Staphylococcus lentus,Oxacilina,1,,,,1,Positivo
Staphylococcus lentus,Rifampicina,,,1,,1,Positivo
Staphylococcus lentus,Teicoplanin,,,1,,1,Positivo
Staphylococcus lentus,Trimetoprim-Sulfametoxazol,,,1,,1,Positivo
Staphylococcus lentus,Vancomicina,,,1,,1,Positivo
Total Staphylococcus lentus,,7,,9,,16,
Staphylococcus lugdunensis,Cefoxitina,1,,,,1,Positivo
Staphylococcus lugdunensis,Ciprofloxacino,1,,,,1,Positivo
Staphylococcus lugdunensis,Clindamicina,1,,,,1,Positivo
Staphylococcus lugdunensis,Daptomicina,,,1,,1,Positivo
Staphylococcus lugdunensis,Eritromicina,1,,,,1,Positivo
Staphylococcus lugdunensis,Gentamicina,1,,,,1,Positivo
Staphylococcus lugdunensis,Linezolida,,,1,,1,Positivo
Staphylococcus lugdunensis,Minociclina,,,1,,1,Positivo
Staphylococcus lugdunensis,Nitrofurantoína,,,1,,1,Positivo
Staphylococcus lugdunensis,Norfloxacino,1,,,,1,Positivo
Staphylococcus lugdunensis,Oxacilina,1,,,,1,Positivo
Staphylococcus lugdunensis,Rifampicina,,,1,,1,Positivo
Staphylococcus lugdunensis,Trimetoprim-Sulfametoxazol,1,,,,1,Positivo
Staphylococcus lugdunensis,Vancomicina,,,1,,1,Positivo
Total Staphylococcus lugdunensis,,8,,6,,14,
Staphylococcus pasteuri,Ciprofloxacino,,,2,,2,Positivo
Staphylococcus pasteuri,Clindamicina,,,2,,2,Positivo
Staphylococcus pasteuri,Cloranfenicol,,,2,,2,Positivo
Staphylococcus pasteuri,Daptomicina,,,2,,2,Positivo
Staphylococcus pasteuri,Eritromicina,2,,,,2,Positivo
Staphylococcus pasteuri,Gentamicina,,,2,,2,Positivo
Staphylococcus pasteuri,Linezolida,,,2,,2,Positivo
Staphylococcus pasteuri,Minociclina,,,2,,2,Positivo
Staphylococcus pasteuri,Nitrofurantoína,,,2,,2,Positivo
Staphylococcus pasteuri,Norfloxacino,,,2,,2,Positivo
Staphylococcus pasteuri,Oxacilina,,,2,,2,Positivo
Staphylococcus pasteuri,Rifampicina,,,2,,2,Positivo
Staphylococcus pasteuri,Teicoplanin,,,2,,2,Positivo
Staphylococcus pasteuri,Trimetoprim-Sulfametoxazol,,,2,,2,Positivo
Staphylococcus pasteuri,Vancomicina,,,2,,2,Positivo
Total Staphylococcus pasteuri,,2,,28,,30,
Staphylococcus saprophyticus,Cefoxitina,8,,,,8,Positivo
Staphylococcus saprophyticus,Ciprofloxacino,5,,4,,9,Positivo
Staphylococcus saprophyticus,Clindamicina,4,,4,1,9,Positivo
Staphylococcus saprophyticus,Cloranfenicol,2,1,5,1,9,Positivo
Staphylococcus saprophyticus,Daptomicina,,,9,,9,Positivo
Staphylococcus saprophyticus,Eritromicina,4,,4,1,9,Positivo
Staphylococcus saprophyticus,Gentamicina,3,1,5,,9,Positivo
Staphylococcus saprophyticus,Linezolida,1,,8,,9,Positivo
Staphylococcus saprophyticus,Minociclina,,,8,1,9,Positivo
Staphylococcus saprophyticus,Nitrofurantoína,,,9,,9,Positivo
Staphylococcus saprophyticus,Norfloxacino,5,,4,,9,Positivo
Staphylococcus saprophyticus,Oxacilina,8,,1,,9,Positivo
Staphylococcus saprophyticus,Rifampicina,4,,5,,9,Positivo
Staphylococcus saprophyticus,Teicoplanin,1,,8,,9,Positivo
Staphylococcus saprophyticus,Tigeciclina,,,,1,1,Positivo
Staphylococcus saprophyticus,Trimetoprim-Sulfametoxazol,3,,6,,9,Positivo
Staphylococcus saprophyticus,Vancomicina,,,9,,9,Positivo
Total Staphylococcus saprophyticus,,48,2,89,5,144,
Staphylococcus schleiferi,Cefoxitina,3,,,,3,Positivo
Staphylococcus schleiferi,Ciprofloxacino,2,,1,,3,Positivo
Staphylococcus schleiferi,Clindamicina,1,,1,1,3,Positivo
Staphylococcus schleiferi,Cloranfenicol,,,2,1,3,Positivo
Staphylococcus schleiferi,Daptomicina,,,2,,2,Positivo
Staphylococcus schleiferi,Eritromicina,1,,1,1,3,Positivo
Staphylococcus schleiferi,Gentamicina,2,,1,,3,Positivo
Staphylococcus schleiferi,Linezolida,1,,2,,3,Positivo
Staphylococcus schleiferi,Minociclina,,,2,1,3,Positivo
Staphylococcus schleiferi,Nitrofurantoína,,,3,,3,Positivo
Staphylococcus schleiferi,Norfloxacino,1,1,1,,3,Positivo
Staphylococcus schleiferi,Oxacilina,3,,,,3,Positivo
Staphylococcus schleiferi,Rifampicina,1,,2,,3,Positivo
Staphylococcus schleiferi,Teicoplanin,1,,2,,3,Positivo
Staphylococcus schleiferi,Tigeciclina,,,,1,1,Positivo
Staphylococcus schleiferi,Trimetoprim-Sulfametoxazol,3,,,,3,Positivo
Staphylococcus schleiferi,Vancomicina,1,,2,,3,Positivo
Total Staphylococcus schleiferi,,20,1,22,5,48,
Staphylococcus sciuri,Cefoxitina,6,,,,6,Positivo
Staphylococcus sciuri,Ciprofloxacino,3,,3,,6,Positivo
Staphylococcus sciuri,Clindamicina,4,,,2,6,Positivo
Staphylococcus sciuri,Cloranfenicol,,,4,2,6,Positivo
Staphylococcus sciuri,Daptomicina,,,4,,4,Positivo
Staphylococcus sciuri,Eritromicina,4,,,2,6,Positivo
Staphylococcus sciuri,Gentamicina,6,,,,6,Positivo
Staphylococcus sciuri,Linezolida,1,,5,,6,Positivo
Staphylococcus sciuri,Minociclina,2,1,1,2,6,Positivo
Staphylococcus sciuri,Nitrofurantoína,1,2,3,,6,Positivo
Staphylococcus sciuri,Norfloxacino,3,,3,,6,Positivo
Staphylococcus sciuri,Oxacilina,6,,,,6,Positivo
Staphylococcus sciuri,Rifampicina,3,,3,,6,Positivo
Staphylococcus sciuri,Teicoplanin,3,1,2,,6,Positivo
